"lon","lat","ssp","nspec","hicrit.vuln","hicrit.sens","hicrit.expo","hicrit.adcap","neg.vuln","neg.sens","neg.expo","neg.adcap","hi.vuln","hi.sens","hi.expo","hi.adcap","crit.vuln","crit.sens","crit.expo","crit.adcap"
-140.875,69.875,"SSP1-2.6",295,33.9,13.56,20.68,54.92,0,0,51.86,0,33.9,13.56,14.92,54.92,0,0,5.76,0
-140.875,70.125,"SSP1-2.6",252,36.11,23.02,32.54,42.86,0,0,0,0,36.11,23.02,17.86,42.86,0,0,14.68,0
-140.875,70.375,"SSP1-2.6",252,23.41,6.35,32.54,40.87,0,32.94,0,0,23.41,6.35,19.44,40.87,0,0,13.1,0
-140.875,70.625,"SSP1-2.6",93,21.51,0,36.56,37.63,0,61.29,0,0,21.51,0,21.51,37.63,0,0,15.05,0
-140.875,70.875,"SSP1-2.6",93,19.35,0,32.26,41.94,0,63.44,0,0,19.35,0,18.28,41.94,0,0,13.98,0
-140.875,71.125,"SSP1-2.6",14,0,0,0,57.14,0,57.14,78.57,0,0,0,0,57.14,0,0,0,0
-140.875,71.375,"SSP1-2.6",14,0,0,0,64.29,0,57.14,78.57,0,0,0,0,64.29,0,0,0,0
-140.875,71.625,"SSP1-2.6",13,0,0,0,69.23,0,53.85,84.62,0,0,0,0,69.23,0,0,0,0
-140.875,71.875,"SSP1-2.6",13,0,0,0,69.23,0,53.85,84.62,0,0,0,0,69.23,0,0,0,0
-140.875,72.125,"SSP1-2.6",13,0,0,0,69.23,0,61.54,84.62,0,0,0,0,69.23,0,0,0,0
-140.875,72.375,"SSP1-2.6",13,0,0,0,69.23,0,61.54,84.62,0,0,0,0,69.23,0,0,0,0
-140.875,72.625,"SSP1-2.6",11,0,0,0,72.73,0,63.64,81.82,0,0,0,0,72.73,0,0,0,0
-140.875,72.875,"SSP1-2.6",11,0,0,0,72.73,0,63.64,81.82,0,0,0,0,72.73,0,0,0,0
-140.625,69.625,"SSP1-2.6",295,24.07,14.58,12.88,58.98,0,0,61.36,0,24.07,14.58,12.88,58.98,0,0,0,0
-140.625,69.875,"SSP1-2.6",295,32.88,13.56,21.02,54.58,0,0,51.86,0,32.88,13.56,15.25,54.58,0,0,5.76,0
-140.625,70.125,"SSP1-2.6",252,37.7,27.38,33.73,34.92,0,0,0,0,37.7,27.38,19.05,34.92,0,0,14.68,0
-140.625,70.375,"SSP1-2.6",252,23.41,6.75,32.14,40.48,0,33.33,0,0,23.41,6.75,19.05,40.48,0,0,13.1,0
-140.625,70.625,"SSP1-2.6",93,21.51,0,34.41,40.86,0,61.29,0,0,21.51,0,19.35,40.86,0,0,15.05,0
-140.625,70.875,"SSP1-2.6",93,20.43,0,32.26,40.86,0,62.37,0,0,20.43,0,18.28,40.86,0,0,13.98,0
-140.625,71.125,"SSP1-2.6",14,0,0,0,57.14,0,57.14,78.57,0,0,0,0,57.14,0,0,0,0
-140.625,71.375,"SSP1-2.6",14,0,0,0,64.29,0,57.14,78.57,0,0,0,0,64.29,0,0,0,0
-140.625,71.625,"SSP1-2.6",13,0,0,0,69.23,0,53.85,84.62,0,0,0,0,69.23,0,0,0,0
-140.625,71.875,"SSP1-2.6",13,0,0,0,69.23,0,53.85,84.62,0,0,0,0,69.23,0,0,0,0
-140.625,72.125,"SSP1-2.6",13,0,0,0,69.23,0,61.54,84.62,0,0,0,0,69.23,0,0,0,0
-140.625,72.375,"SSP1-2.6",13,0,0,0,69.23,0,61.54,84.62,0,0,0,0,69.23,0,0,0,0
-140.625,72.625,"SSP1-2.6",11,0,0,0,72.73,0,63.64,81.82,0,0,0,0,72.73,0,0,0,0
-140.625,72.875,"SSP1-2.6",11,0,0,0,72.73,0,63.64,81.82,0,0,0,0,72.73,0,0,0,0
-140.375,69.625,"SSP1-2.6",288,25.35,17.01,15.28,52.08,0,0,59.38,0,25.35,17.01,15.28,52.08,0,0,0,0
-140.375,69.875,"SSP1-2.6",288,34.03,17.36,23.26,46.18,0,0,45.14,0,34.03,17.36,15.62,46.18,0,0,7.64,0
-140.375,70.125,"SSP1-2.6",247,36.03,27.13,35.22,31.58,0,0,0,0,36.03,27.13,19.84,31.58,0,0,15.38,0
-140.375,70.375,"SSP1-2.6",247,24.29,6.88,32.79,37.25,0,26.72,0,0,24.29,6.88,19.43,37.25,0,0,13.36,0
-140.375,70.625,"SSP1-2.6",80,22.5,0,36.25,38.75,0,57.5,0,0,22.5,0,21.25,38.75,0,0,15,0
-140.375,70.875,"SSP1-2.6",80,21.25,0,36.25,38.75,0,58.75,0,0,21.25,0,22.5,38.75,0,0,13.75,0
-140.375,71.125,"SSP1-2.6",14,0,0,0,57.14,0,57.14,78.57,0,0,0,0,57.14,0,0,0,0
-140.375,71.375,"SSP1-2.6",14,0,0,0,64.29,0,57.14,78.57,0,0,0,0,64.29,0,0,0,0
-140.375,71.625,"SSP1-2.6",13,0,0,0,69.23,0,53.85,84.62,0,0,0,0,69.23,0,0,0,0
