Year,Location,Data type,Date,Lease #,Finfish/Shellfish/Reference,NSDFA ID,Soft or Hard Bottom Station ,Latitude,Longitude,Number of Replicates,Mean Redox (mVNHE),Mean Sulphide (µM),Mean Porosity (%),Mean Organic Matter (%),"Presence or absence of visual indicators (Beggiatoa like bacteria, OPC, barreness)",Location 1
2009,Port Mouton,EMP-Level I,"Jul 28, 2009",0835,Fin,AFF09,Soft,43.91474,-64.81118,3,-159,546,65.6,13.9,,"(43.91474, -64.81118)"
2009,Port Mouton,EMP-Level I,"Jul 28, 2009",0835,Fin,PTM12,Soft,43.91582,-64.811,1,-198,759,64.5,14.4,,"(43.91582, -64.811)"
2009,Port Mouton,EMP-Level I,"Jul 28, 2009",0835,Fin,PTM14,Soft,43.91498,-64.81182,3,-169,973,75.83,29,,"(43.91498, -64.81182)"
2009,Port Mouton,EMP-Level I,"Jul 28, 2009",0835,Fin,PTM16,Soft,43.91405,-64.8129,3,-176,832,67.9,15.5,,"(43.91405, -64.8129)"
2009,Port Mouton,EMP-Level I,"Jul 28, 2009",0835,Ref,PTM11,Soft,43.91805,-64.80822,3,-44,36,55.23,7.92,,"(43.91805, -64.80822)"
2009,Port Mouton,EMP-Level I,"Jul 28, 2009",0835,Ref,PTM42,Soft,43.9121,-64.81527,2,21,26,66.83,10.43,,"(43.9121, -64.81527)"
2009,Liverpool Bay,EMP-Level I,"Jul 27, 2009",1205,Fin,LVP09,Soft,44.04223,-64.63982,3,-166,1096,,,,"(44.04223, -64.63982)"
2009,Liverpool Bay,EMP-Level I,"Jul 27, 2009",1205,Fin,LVP10,Soft,44.04273,-64.64027,3,17,44,,,,"(44.04273, -64.64027)"
2009,Liverpool Bay,EMP-Level I,"Jul 27, 2009",1205,Fin,LVP26,Soft,44.04192,-64.63993,2,-128,48,,,,"(44.04192, -64.63993)"
2009,Liverpool Bay,EMP-Level I,"Jul 27, 2009",1205,Ref,LVP44,Soft,44.0394,-64.6399,3,252,0,,,,"(44.0394, -64.6399)"
2009,Liverpool Bay,EMP-Level I,"Jul 27, 2009",1205,Ref,LVP42,Soft,44.04507,-64.63877,2,134,25,,,,"(44.04507, -64.63877)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 13, 2009",1006,Fin,APH27,Soft,44.50412,-64.0499,3,-105,3053,73.9,23.15,,"(44.50412, -64.0499)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 13, 2009",1006,Fin,APH28,Soft,44.50495,-64.04887,3,-105,788,58.83,9.91,,"(44.50495, -64.04887)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 13, 2009",1006,Fin,APH30,Soft,44.50382,-64.04933,3,-147,3107,70.59,19.63,,"(44.50382, -64.04933)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 13, 2009",1006,Fin,APH52,Soft,44.50453,-64.0494,3,-115,1021,50.21,9.11,,"(44.50453, -64.0494)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 13, 2009",1006,Ref,APH40,Soft,44.5029,-64.05135,3,-37,158,41.64,4.13,,"(44.5029, -64.05135)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 13, 2009",1006,Ref,APH56,Soft,44.50542,-64.04625,3,-155,2453,64.01,15.56,,"(44.50542, -64.04625)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 14, 2009",1006,Fin,APH23,Soft,44.50542,-64.04865,3,-68,3573,56.22,15.12,,"(44.50542, -64.04865)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 14, 2009",1006,Fin,APH24,Soft,44.50504,-64.0505,3,-45,3877,81.2,56.01,,"(44.50504, -64.0505)"
2009,Aspotogan Harbour,EMP-Level I,"Jul 14, 2009",1006,Fin,APH25,Soft,44.50557,-64.04949,3,-109,3170,53.9,10.9,,"(44.50557, -64.04949)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH27,Soft,44.50417,-64.04987,3,-172,7760,,,,"(44.50417, -64.04987)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH41,Soft,44.50382,-64.05007,3,-179,7783,,,,"(44.50382, -64.05007)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH42,Soft,44.50365,-64.04957,3,-160,6367,,,,"(44.50365, -64.04957)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH43,Soft,44.504,-64.04913,3,-158,5490,,,,"(44.504, -64.04913)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH45,Soft,44.50447,-64.0482,3,-150,3220,,,,"(44.50447, -64.0482)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH46,Soft,44.50432,-64.04967,3,-102,1292,,,,"(44.50432, -64.04967)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH47,Soft,44.50343,-64.04963,3,-143,1803,,,,"(44.50343, -64.04963)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH48,Soft,44.50398,-64.05035,3,-51,2120,,,,"(44.50398, -64.05035)"
2009,Aspotogan Harbour,EMP-Level II,"Sep 01, 2009",1006,Fin,APH49,Soft,44.505,-64.04907,3,-161,2233,,,,"(44.505, -64.04907)"
2009,Owl's Head,EMP-Level I,"Jul 08, 2009",0772,Fin,OWL10,Soft,44.73592,-62.80735,3,-120,5167,22.97,1.3,,"(44.73592, -62.80735)"
2009,Owl's Head,EMP-Level I,"Jul 08, 2009",0772,Fin,OWL11,Soft,44.7369,-62.80778,3,-84,3997,30,2.57,,"(44.7369, -62.80778)"
2009,Owl's Head,EMP-Level I,"Jul 08, 2009",0772,Fin,OWL12,Soft,44.73495,-62.80652,3,-79,1483,24.3,1.27,,"(44.73495, -62.80652)"
2009,Owl's Head,EMP-Level I,"Jul 08, 2009",0772,Ref,OWL13,Soft,44.73979,-62.80879,3,164,100,35.33,2.97,,"(44.73979, -62.80879)"
2009,Owl's Head,EMP-Level I,"Jul 08, 2009",0772,Ref,OWL14,Soft,44.73258,-62.80535,3,88,106,23.33,0.85,,"(44.73258, -62.80535)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL20,Soft,44.7371,-62.80847,3,-117,5740,,,,"(44.7371, -62.80847)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL21,Soft,44.73682,-62.80823,3,-104,1787,,,,"(44.73682, -62.80823)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL22,Soft,44.7365,-62.80808,3,-108,5623,,,,"(44.7365, -62.80808)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL23,Soft,44.7361,-62.80778,3,-99,6743,,,,"(44.7361, -62.80778)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL24,Soft,44.73578,-62.80762,3,-80,1980,,,,"(44.73578, -62.80762)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL25,Soft,44.7355,-62.80742,2,4,378,,,,"(44.7355, -62.80742)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL26,Soft,44.73737,-62.80765,3,-98,2557,,,,"(44.73737, -62.80765)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL27,Soft,44.73705,-62.80745,3,-102,6550,,,,"(44.73705, -62.80745)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL28,Soft,44.73672,-62.80725,3,-83,1185,,,,"(44.73672, -62.80725)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL29,Soft,44.73643,-62.80708,3,-70,1427,,,,"(44.73643, -62.80708)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL30,Soft,44.73613,-62.80692,3,-73,1940,,,,"(44.73613, -62.80692)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL31,Soft,44.73577,-62.80663,3,-85,1907,,,,"(44.73577, -62.80663)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL32,Soft,44.73593,-62.80663,3,-93,2077,,,,"(44.73593, -62.80663)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL33,Soft,44.73755,-62.8077,3,-84,2593,,,,"(44.73755, -62.8077)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL34,Soft,44.73723,-62.80862,3,-106,1201,,,,"(44.73723, -62.80862)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL35,Soft,44.73562,-62.80755,3,-124,3917,,,,"(44.73562, -62.80755)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL36,Soft,44.73465,-62.80582,3,-69,815,,,,"(44.73465, -62.80582)"
2009,Owl's Head,EMP-Level II,"Sep 24, 2009",0772,Fin,OWL37,Soft,44.7343,-62.80673,2,76,35,,,,"(44.7343, -62.80673)"
2009,Shelburne Harbour,EMP-Level I,"Jul 15, 2009",0602,Fin,SBH32,Soft,43.7151,-65.32232,3,146,114,74.69,17.52,,"(43.7151, -65.32232)"
2009,Shelburne Harbour,EMP-Level I,"Jul 15, 2009",0602,Fin,SBH35,Soft,43.7183,-65.3232,3,-125,1750,79.02,23.13,,"(43.7183, -65.3232)"
2009,Shelburne Harbour,EMP-Level I,"Jul 15, 2009",0602,Fin,SBH62,Soft,43.71657,-65.32252,3,-93,357,76.36,20.24,,"(43.71657, -65.32252)"
2009,Shelburne Harbour,EMP-Level I,"Jul 15, 2009",0602,Fin,SBH73,Soft,43.71765,-65.32302,3,-150,2080,77.52,26.59,,"(43.71765, -65.32302)"
2009,Shelburne Harbour,EMP-Level I,"Jul 15, 2009",0602,Ref,SBH21,Soft,43.71255,-65.3232,3,59,62,75.06,15.65,,"(43.71255, -65.3232)"
2009,Shelburne Harbour,EMP-Level I,"Jul 15, 2009",0602,Ref,SBH68,Soft,43.7198,-65.32228,3,173,145,74.91,18.45,,"(43.7198, -65.32228)"
