Ship/Navire,Date(GMT),Longitude,Latitude,Deph/Profondeur(m),Temperature/Température(ºC),Salinity/Salinité
CABOT,2010-02-23 23:59:36,-73.45830,45.67150,3.0,0.29,0.13
CABOT,2010-02-24 00:09:36,-73.43870,45.70770,3.0,0.21,0.14
CABOT,2010-02-24 00:19:36,-73.41430,45.73520,3.0,0.20,0.13
CABOT,2010-02-24 00:29:36,-73.38730,45.76020,3.0,0.19,0.14
CABOT,2010-02-24 00:39:36,-73.35680,45.78200,3.0,0.19,0.14
CABOT,2010-02-24 00:49:36,-73.32630,45.80400,3.0,0.17,0.14
CABOT,2010-02-24 00:59:36,-73.29600,45.82800,3.0,0.18,0.14
CABOT,2010-02-24 01:09:36,-73.27030,45.85330,3.0,0.17,0.14
CABOT,2010-02-24 01:19:36,-73.24820,45.88020,3.0,0.17,0.14
CABOT,2010-02-24 01:29:36,-73.21850,45.90430,3.0,0.16,0.14
CABOT,2010-02-24 01:39:36,-73.21300,45.93550,3.0,0.16,0.13
CABOT,2010-02-24 01:49:36,-73.19970,45.96500,3.0,0.17,0.13
CABOT,2010-02-24 01:59:36,-73.18100,45.99350,3.0,0.16,0.13
CABOT,2010-02-24 02:09:36,-73.17000,46.02320,3.0,0.17,0.12
CABOT,2010-02-24 02:19:36,-73.14980,46.04720,3.0,0.18,0.13
CABOT,2010-02-24 02:29:36,-73.11020,46.05630,3.0,0.18,0.13
CABOT,2010-02-24 02:39:36,-73.06800,46.06230,3.0,0.18,0.14
CABOT,2010-02-24 02:49:35,-73.02870,46.07400,3.0,0.21,0.13
CABOT,2010-02-24 02:59:36,-72.99320,46.09330,3.0,0.22,0.14
CABOT,2010-02-24 03:09:36,-72.96280,46.11600,3.0,0.22,0.14
CABOT,2010-02-24 03:19:36,-72.95080,46.14520,3.0,0.22,0.13
CABOT,2010-02-24 03:29:36,-72.92900,46.17070,3.0,0.23,0.13
CABOT,2010-02-24 03:39:36,-72.89330,46.19120,3.0,0.23,0.13
CABOT,2010-02-24 03:49:35,-72.85180,46.20250,3.0,0.23,0.13
CABOT,2010-02-24 03:59:36,-72.81150,46.21500,3.0,0.23,0.13
CABOT,2010-02-24 04:09:36,-72.77480,46.23120,3.0,0.23,0.13
CABOT,2010-02-24 04:19:36,-72.73820,46.24820,3.0,0.22,0.13
CABOT,2010-02-24 04:29:36,-72.70070,46.26280,3.0,0.18,0.12
CABOT,2010-02-24 04:39:36,-72.65800,46.26230,3.0,0.18,0.13
CABOT,2010-02-24 04:49:36,-72.61820,46.27550,3.0,0.14,0.13
CABOT,2010-02-24 04:59:36,-72.58450,46.29350,3.0,0.17,0.13
CABOT,2010-02-24 05:09:36,-72.55530,46.31370,3.0,0.17,0.13
CABOT,2010-02-24 05:19:36,-72.54280,46.33150,3.0,0.16,0.12
CABOT,2010-02-24 05:29:36,-72.50300,46.35630,3.0,0.17,0.12
CABOT,2010-02-24 05:39:36,-72.44300,46.38070,3.0,0.18,0.12
CABOT,2010-02-24 05:49:36,-72.38600,46.40970,3.0,0.21,0.12
CABOT,2010-02-24 05:59:36,-72.32670,46.43730,3.0,0.24,0.12
CABOT,2010-02-24 06:09:36,-72.25870,46.45130,3.0,0.24,0.12
CABOT,2010-02-24 06:19:36,-72.23050,46.49970,3.0,0.24,0.12
CABOT,2010-02-24 06:29:36,-72.17820,46.53380,3.0,0.25,0.12
CABOT,2010-02-24 06:39:36,-72.11720,46.56420,3.0,0.25,0.12
CABOT,2010-02-24 06:49:36,-72.04520,46.57350,3.0,0.25,0.11
CABOT,2010-02-24 06:59:36,-71.98500,46.60330,3.0,0.26,0.11
CABOT,2010-02-24 07:09:36,-71.92780,46.63370,3.0,0.24,0.07
CABOT,2010-02-24 07:19:35,-71.88370,46.67220,3.0,0.25,0.12
CABOT,2010-02-24 07:29:36,-71.82070,46.67070,3.0,0.30,0.11
CABOT,2010-02-24 07:39:35,-71.76020,46.64920,3.0,0.32,0.11
CABOT,2010-02-24 07:49:36,-71.69650,46.64070,3.0,0.33,0.12
CABOT,2010-02-24 07:59:36,-71.63230,46.65700,3.0,0.31,0.12
CABOT,2010-02-24 08:09:36,-71.57030,46.67700,3.0,0.34,0.12
CABOT,2010-02-24 08:19:36,-71.51050,46.70020,3.0,0.32,0.12
CABOT,2010-02-24 08:29:36,-71.44220,46.71280,3.0,0.30,0.12
CABOT,2010-02-24 08:39:36,-71.37070,46.72380,3.0,0.35,0.11
CABOT,2010-02-24 08:49:36,-71.30050,46.74250,3.0,0.31,0.11
CABOT,2010-02-24 08:59:36,-71.23600,46.77030,3.0,0.29,0.08
CABOT,2010-02-24 09:09:36,-71.19930,46.80320,3.0,0.29,0.12
CABOT,2010-02-24 09:19:36,-71.19030,46.82020,3.0,0.29,0.11
CABOT,2010-02-24 09:29:36,-71.14280,46.84100,3.0,0.29,0.11
CABOT,2010-02-24 09:39:36,-71.06520,46.84320,3.0,0.25,0.11
CABOT,2010-02-24 09:49:36,-70.99070,46.85980,3.0,0.23,0.11
CABOT,2010-02-24 09:59:36,-70.92770,46.89050,3.0,0.23,0.11
CABOT,2010-02-24 10:09:36,-70.86950,46.92430,3.0,0.22,0.11
CABOT,2010-02-24 10:19:36,-70.82920,46.96670,3.0,0.21,0.11
CABOT,2010-02-24 10:29:36,-70.78750,47.01000,3.0,0.21,0.11
CABOT,2010-02-24 10:39:36,-70.74600,47.05300,3.0,0.26,0.12
CABOT,2010-02-24 10:49:36,-70.71200,47.10030,3.0,0.28,0.35
CABOT,2010-02-24 10:59:36,-70.67020,47.14680,3.0,0.23,2.93
CABOT,2010-02-24 11:09:36,-70.62020,47.18900,3.0,0.18,4.36
CABOT,2010-02-24 11:19:36,-70.57330,47.23200,3.0,0.19,4.26
CABOT,2010-02-24 11:29:36,-70.53300,47.27650,3.0,0.17,6.21
CABOT,2010-02-24 11:39:36,-70.50170,47.32350,3.0,0.12,9.27
CABOT,2010-02-24 11:49:36,-70.47050,47.37000,3.0,0.08,12.15
CABOT,2010-02-24 11:59:35,-70.43730,47.41570,3.0,0.06,14.80
CABOT,2010-02-24 12:09:36,-70.37020,47.43380,3.0,0.13,11.82
CABOT,2010-02-24 12:19:36,-70.29730,47.44680,3.0,0.12,14.37
CABOT,2010-02-24 12:29:36,-70.23050,47.46930,3.0,0.15,17.44
CABOT,2010-02-24 12:39:36,-70.18180,47.50470,3.0,0.19,17.63
CABOT,2010-02-24 12:49:36,-70.14000,47.54230,3.0,0.22,19.42
CABOT,2010-02-24 12:59:36,-70.09930,47.58050,3.0,0.21,<Null>
CABOT,2010-02-24 13:09:36,-70.05570,47.61370,3.0,0.29,20.21
CABOT,2010-02-24 13:19:36,-70.00630,47.64400,3.0,0.24,21.99
CABOT,2010-02-24 13:29:36,-69.95500,47.67450,3.0,0.20,22.18
CABOT,2010-02-24 13:39:35,-69.90280,47.70420,3.0,0.23,21.93
CABOT,2010-02-24 13:49:36,-69.86170,47.74070,3.0,0.35,21.46
CABOT,2010-02-24 13:59:35,-69.82780,47.78100,3.0,0.33,20.29
CABOT,2010-02-24 14:09:35,-69.79270,47.82180,3.0,0.26,22.46
CABOT,2010-02-24 14:19:36,-69.75920,47.86130,3.0,0.23,24.90
CABOT,2010-02-24 14:29:36,-69.72830,47.89850,3.0,0.23,24.18
CABOT,2010-02-24 14:39:36,-69.69530,47.93580,3.0,0.25,24.71
CABOT,2010-02-24 14:49:36,-69.66300,47.97620,3.0,0.34,26.82
CABOT,2010-02-24 14:59:36,-69.63580,48.01680,3.0,0.31,24.64
CABOT,2010-02-24 15:09:35,-69.60950,48.05720,3.0,0.37,26.92
CABOT,2010-02-24 15:19:36,-69.58370,48.09580,3.0,0.47,27.44
CABOT,2010-02-24 15:29:36,-69.55180,48.13220,3.0,0.46,27.59
CABOT,2010-02-24 15:39:36,-69.51680,48.17000,3.0,0.52,27.48
CABOT,2010-02-24 15:49:36,-69.48330,48.20680,3.0,0.45,27.31
CABOT,2010-02-24 15:59:36,-69.45130,48.24270,3.0,0.38,26.92
CABOT,2010-02-24 16:09:36,-69.42020,48.27870,3.0,0.37,26.46
CABOT,2010-02-24 16:19:35,-69.41030,48.31030,3.0,0.36,25.14
CABOT,2010-02-24 16:29:36,-69.40270,48.31280,3.0,0.33,25.40
CABOT,2010-02-24 16:39:36,-69.37150,48.31530,3.0,0.29,26.41
CABOT,2010-02-24 16:49:36,-69.33650,48.32950,3.0,0.45,27.36
CABOT,2010-02-24 16:59:36,-69.30200,48.34530,3.0,0.52,28.28
CABOT,2010-02-24 17:09:36,-69.26330,48.36350,3.0,0.48,28.06
CABOT,2010-02-24 17:19:36,-69.21880,48.38330,3.0,0.49,28.09
CABOT,2010-02-24 17:29:35,-69.16970,48.40480,3.0,0.53,28.42
CABOT,2010-02-24 17:39:35,-69.11230,48.43080,3.0,0.57,28.45
CABOT,2010-02-24 17:49:35,-69.05270,48.45780,3.0,0.66,28.40
CABOT,2010-02-24 17:59:36,-68.99120,48.48470,3.0,0.56,28.02
CABOT,2010-02-24 18:09:36,-68.92830,48.51070,3.0,0.54,27.94
CABOT,2010-02-24 18:19:35,-68.86580,48.53670,3.0,0.70,27.88
CABOT,2010-02-24 18:29:35,-68.80500,48.56200,3.0,0.58,28.61
CABOT,2010-02-24 18:39:35,-68.74500,48.58700,3.0,0.54,28.72
CABOT,2010-02-24 18:49:35,-68.68470,48.61230,3.0,0.62,28.75
CABOT,2010-02-24 18:59:35,-68.62580,48.63670,3.0,0.52,28.47
CABOT,2010-02-24 19:09:35,-68.56720,48.66080,3.0,0.54,28.26
CABOT,2010-02-24 19:19:35,-68.50800,48.68550,3.0,0.53,27.88
CABOT,2010-02-24 19:29:35,-68.44880,48.71020,3.0,0.00,26.68
CABOT,2010-02-24 19:39:35,-68.38980,48.73470,3.0,-0.43,27.14
CABOT,2010-02-24 19:49:35,-68.33150,48.75880,3.0,-0.22,27.20
CABOT,2010-02-24 19:59:35,-68.27220,48.78350,3.0,-0.14,27.97
CABOT,2010-02-24 20:09:35,-68.21180,48.80870,3.0,-0.37,27.97
CABOT,2010-02-24 20:19:35,-68.15170,48.83330,3.0,-0.23,28.16
CABOT,2010-02-24 20:29:35,-68.09300,48.85770,3.0,-0.28,28.02
CABOT,2010-02-24 20:39:35,-68.03380,48.88230,3.0,-0.60,28.04
CABOT,2010-02-24 20:49:35,-67.97430,48.90700,3.0,-0.19,27.84
CABOT,2010-02-24 20:59:35,-67.91520,48.93150,3.0,-0.25,28.32
CABOT,2010-02-24 21:09:35,-67.85620,48.95580,3.0,-0.56,27.00
CABOT,2010-02-24 21:19:35,-67.79630,48.98030,3.0,-0.55,26.41
CABOT,2010-02-24 21:29:35,-67.73630,49.00520,3.0,-0.70,27.37
CABOT,2010-02-24 21:39:35,-67.67500,49.02730,3.0,-0.43,25.52
CABOT,2010-02-24 21:49:35,-67.61580,49.05200,3.0,-0.28,27.36
CABOT,2010-02-24 21:59:35,-67.55780,49.07750,3.0,-0.41,27.73
CABOT,2010-02-24 22:09:35,-67.50150,49.10220,3.0,-0.80,26.88
CABOT,2010-02-24 22:19:35,-67.44420,49.12600,3.0,-0.78,27.25
CABOT,2010-02-24 22:29:35,-67.38830,49.14900,3.0,-0.75,27.62
CABOT,2010-02-24 22:39:35,-67.33400,49.17130,3.0,-0.74,27.78
CABOT,2010-02-24 22:49:35,-67.27630,49.19120,3.0,-0.67,27.04
