DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,LaboratoryName,ObjectId
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Arsenic,,Total,,,Actual,Below Detection/Quantification Limit,1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),1
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Barium,,Total,4.6,ug/L,Actual,,1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),2
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Beryllium,,Total,,,Actual,Below Detection/Quantification Limit,0.1,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),3
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Bismuth,,Total,,,Actual,Below Detection/Quantification Limit,2,ug/L,Reporting Limit,6020B R2 m,USEPA,ATL SOP 00058,Bureau Veritas (formerly Maxxam),4
HRM Lakes Water Quality Monitoring Data,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,5/9/2022 0:00,,m,Chloride,,Dissolved,8.2,mg/L,Actual,,1,mg/L,Reporting Limit,SM 23 4500-Cl- E m,,ATL SOP 00014,Bureau Veritas (formerly Maxxam),5
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/16/2023 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,2.74,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,6
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/16/2023 0:00,-7,m,"Chlorophyll a, corrected for pheophytin",,,7,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,7
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/25/2023 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,3.11,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,8
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,4/25/2023 0:00,-7,m,"Chlorophyll a, corrected for pheophytin",,,1.62,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,9
HRM LakeWatchers 2023 Spring Lab Results,BEAB_SD,Beaver Bank Lake Deep Water,44.856944,-63.666389,WGS84,Lake/Pond,Sample-Routine,Surface Water,8/24/2022 0:00,0,m,"Chlorophyll a, corrected for pheophytin",,,9.44,ug/L,Actual,,,,,"(Welschmeyer, 1994)",DOI,non-acidification method,Dalhousie University,10
