OBJECTID,MONLOCID,SAMPTYPE,INSTRUMT,SECCHI,DEPTH,PH,DO,CONDUCT,TEMP,MON_DATE,ENC_LK_DEPTH,SP_COND,GlobalID
5849,ALBRO_OUT,Outlet Sample,YSI,,0,8.03,9.1,0.197,10.31,2022/04/27 00:00:00+00,,,a4e7b36a-bbac-47fe-9fc6-c71bc2e47774
5850,ALBRO_SD,Deep/Surface Sample,YSI,4.1,0,7.86,10.17,0.196,10.04,2022/04/27 00:00:00+00,,,5862dece-4c5c-40bc-8904-1ff1b3ac5445
5851,ALBRO_SD,Deep/Surface Sample,YSI,4.1,0.5,7.85,9.61,0.198,10.07,2022/04/27 00:00:00+00,,,6535a45b-b36d-4ab6-8ea4-76202b0e0611
5852,ALBRO_SD,Deep/Surface Sample,YSI,4.1,1,7.84,9.57,0.198,10.08,2022/04/27 00:00:00+00,,,7f231c74-422e-46ec-bff9-1a83962d43a6
5853,ALBRO_SD,Deep/Surface Sample,YSI,4.1,1.5,7.84,9.45,0.198,10.08,2022/04/27 00:00:00+00,,,36cf063a-824c-41da-a17e-8358f152c183
5854,ALBRO_SD,Deep/Surface Sample,YSI,4.1,2,7.83,9.16,0.198,10.09,2022/04/27 00:00:00+00,,,82868d2b-af25-41b2-b188-353534d535bf
5855,ALBRO_SD,Deep/Surface Sample,YSI,4.1,2.5,7.83,8.2,0.199,10.01,2022/04/27 00:00:00+00,,,b5bb1b01-b741-40ef-b9ef-9dcb3f5f95ff
5856,ALBRO_SD,Deep/Surface Sample,YSI,4.1,3,7.96,9.42,0.199,9.94,2022/04/27 00:00:00+00,,,22defe6b-a505-4896-89ae-c1814507d81f
5857,ALBRO_SD,Deep/Surface Sample,YSI,4.1,3.5,8.03,9.34,0.198,9.98,2022/04/27 00:00:00+00,,,9ee059c7-aadc-4660-95ae-46cefb278903
5858,ALBRO_SD,Deep/Surface Sample,YSI,4.1,4,8.06,7.55,0.198,9.97,2022/04/27 00:00:00+00,,,779f13ef-4495-4d1d-bffd-c89c0bfb05bd
5859,ALBRO_SD,Deep/Surface Sample,YSI,4.1,4.5,8.09,7.56,0.199,9.97,2022/04/27 00:00:00+00,,,00e0e50f-c784-48d0-b917-1f8db3006e4f
5860,ALBRO_SD,Deep/Surface Sample,YSI,4.1,5,8.11,7.6,0.197,9.24,2022/04/27 00:00:00+00,,,30559257-6592-40eb-9099-ccec841b4660
5861,ALBRO_SD,Deep/Surface Sample,YSI,4.1,5.5,8.12,9.38,0.198,8.94,2022/04/27 00:00:00+00,,,896797af-b5f8-48c8-a36c-b61d87490ff4
5862,ALBRO_SD,Deep/Surface Sample,YSI,4.1,6,8.11,7.45,0.198,8.82,2022/04/27 00:00:00+00,,,4493286a-09b2-4e55-be1f-03cdf6708c0f
5863,ALBR_OUT,Outlet Sample,YSI,,0,5.94,9.72,0.034,13,2022/05/12 00:00:00+00,,,10071a0d-796e-4503-9727-02baa2b81ff5
5864,ALBR_SD,Deep/Surface Sample,YSI,1.6,0,6.19,9.52,0.037,18,2022/05/12 00:00:00+00,,,bf34a844-e76d-4e1d-bcf7-9bf19c91bfd9
5865,ALBR_SD,Deep/Surface Sample,YSI,1.6,0.5,5.79,9.61,0.037,16.9,2022/05/12 00:00:00+00,,,35bed3d4-6dda-4864-8423-437c0546f6f1
5866,ALBR_SD,Deep/Surface Sample,YSI,1.6,1,5.85,9.62,0.037,16.9,2022/05/12 00:00:00+00,,,e45a385c-af2f-4ea2-9f42-fb8a0872edb0
